time,underlying,expiry,strike,option_type,ltp,iv,delta,gamma,theta,vega,oi,volume,bid_price,ask_price
2026-01-16 09:51:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 09:52:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 09:53:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 09:54:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 09:55:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 09:56:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 09:57:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 09:58:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 09:59:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 10:00:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 10:01:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 10:02:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 10:03:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 10:04:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 10:05:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 10:06:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 10:07:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 10:08:00,NIFTY,2026-01-20,24700,CE,1070.0,0.0,0.0,0.0,0.0,0.0,2730,0,0.0,0.0
2026-01-16 10:09:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,65,0.0,0.0
2026-01-16 10:10:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:11:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:12:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:13:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:14:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:15:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:16:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:17:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:18:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:19:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:20:00,NIFTY,2026-01-20,24700,CE,1100.0,0.0,0.0,0.0,0.0,0.0,2665,0,0.0,0.0
2026-01-16 10:21:00,NIFTY,2026-01-20,24700,CE,1190.0,0.0,0.0,0.0,0.0,0.0,2600,520,0.0,0.0
2026-01-16 10:22:00,NIFTY,2026-01-20,24700,CE,1190.0,0.0,0.0,0.0,0.0,0.0,2600,0,0.0,0.0
2026-01-16 10:23:00,NIFTY,2026-01-20,24700,CE,1185.6,0.0,0.0,0.0,0.0,0.0,3120,130,0.0,0.0
2026-01-16 10:24:00,NIFTY,2026-01-20,24700,CE,1185.6,0.0,0.0,0.0,0.0,0.0,3120,0,0.0,0.0
2026-01-16 10:25:00,NIFTY,2026-01-20,24700,CE,1192.55,0.0,0.0,0.0,0.0,0.0,3120,65,0.0,0.0
2026-01-16 10:26:00,NIFTY,2026-01-20,24700,CE,1192.55,0.0,0.0,0.0,0.0,0.0,3120,0,0.0,0.0
2026-01-16 10:27:00,NIFTY,2026-01-20,24700,CE,1192.55,0.0,0.0,0.0,0.0,0.0,3120,0,0.0,0.0
2026-01-16 10:28:00,NIFTY,2026-01-20,24700,CE,1192.55,0.0,0.0,0.0,0.0,0.0,3120,0,0.0,0.0
2026-01-16 10:29:00,NIFTY,2026-01-20,24700,CE,1192.55,0.0,0.0,0.0,0.0,0.0,3120,0,0.0,0.0
2026-01-16 10:30:00,NIFTY,2026-01-20,24700,CE,1192.55,0.0,0.0,0.0,0.0,0.0,3120,0,0.0,0.0
2026-01-16 10:31:00,NIFTY,2026-01-20,24700,CE,1192.55,0.0,0.0,0.0,0.0,0.0,3120,0,0.0,0.0
2026-01-16 10:32:00,NIFTY,2026-01-20,24700,CE,1192.55,0.0,0.0,0.0,0.0,0.0,3120,0,0.0,0.0
2026-01-16 10:33:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,520,0.0,0.0
2026-01-16 10:34:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:35:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:36:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:37:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:38:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:39:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:40:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:41:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:42:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:43:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:44:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:45:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:46:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:47:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:48:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:49:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:50:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:51:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:52:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:53:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:54:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:55:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:56:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:57:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:58:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 10:59:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 11:00:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 11:01:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 11:02:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 11:03:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 11:04:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 11:05:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 11:06:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 11:07:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 11:08:00,NIFTY,2026-01-20,24700,CE,1200.0,0.0,0.0,0.0,0.0,0.0,3315,0,0.0,0.0
2026-01-16 11:09:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,65,0.0,0.0
2026-01-16 11:10:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:11:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:12:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:13:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:14:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:15:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:16:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:17:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:18:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:19:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:20:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:21:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:22:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:23:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:24:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:25:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:26:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:27:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:28:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:29:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:30:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:31:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:32:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:33:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:34:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:35:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:36:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:37:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:38:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:39:00,NIFTY,2026-01-20,24700,CE,1175.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:40:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,650,0.0,0.0
2026-01-16 11:41:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:42:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:43:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:44:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:45:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:46:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:47:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:48:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:49:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:50:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:51:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:52:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:53:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:54:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:55:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:56:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:57:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:58:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 11:59:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:00:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:01:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:02:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:03:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:04:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:05:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:06:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:07:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:08:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:09:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:10:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:11:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:12:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:13:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:14:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:15:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:16:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:17:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:18:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:19:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:20:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:21:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:22:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:23:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:24:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:25:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:26:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:27:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:28:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:29:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:30:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:31:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
2026-01-16 12:32:00,NIFTY,2026-01-20,24700,CE,1135.0,0.0,0.0,0.0,0.0,0.0,3250,0,0.0,0.0
